sample_id	mapped_bases	qual_filtered_mapped_bases
SR0719ch_019_CHR_1_3	1023313538	557990833
SR0719ch_028_CHR_1_3	498353207	273619673
SR0719ch_232_CHR_1_3	488490984	268728284
SR0719r_292_REF_1_3	153627296	82818756
SR0719r_295_REF_1_3	283499812	153394345
SR0719r_412_REF_1_3	28484931	15623392
SR0719r_414_REF_1_3	57124307	31240761
SR0719r_416_REF_1_3	53192821	29170416
SR0719r_421_REF_1_3	53947927	29720305
Runtime: 1:19:11 (hh:mm:ss)
sample_id	mapped_bases	qual_filtered_mapped_bases
ARN0419_032_ARN_1_4	822121025	451026180
ARN0419_039_ARN_1_4	8212	3880
ARN0419_041_ARN_1_4	1385834383	747230206
ARN0419_005_ARN_1_4	1893759432	1019007476
ARN0419_006_ARN_1_4	1758401280	941424009
ARN0419_007_ARN_1_4	1814985823	987304062
ARN0419_008_ARN_1_4	2440065025	1352743453
ARN0419_009_ARN_1_4	2633997541	1419778662
ARN0419_013_ARN_1_4	2008403335	1084849633
ARN0419_014_ARN_1_4	1415227820	767943089
ARN0419_015_ARN_1_4	2442349414	1314606611
ARN0419_016_ARN_1_4	2117666152	1136232156
ARN0419_017_ARN_1_4	2340637124	1267353227
ARN0419_018_ARN_1_4	1281856497	697137569
ARN0419_022_ARN_1_4	970149979	521566170
ARN0419_024_ARN_1_4	930059279	506899050
ARN0419_026_ARN_1_4	477249905	259467347
ARN0419_043_ARN_1_4	637746599	336187875
ARN0419_047_ARN_1_4	683605255	359945200
ARN0419_034_ARN_1_4	2438922786	1324147291
ARN0419_003_ARN_1_4	1267113499	684254923
ARN0419_004_ARN_1_4	1262609769	689401328
ARN0419_011_ARN_1_4	411472575	217036598
ARN0419_012_ARN_1_4	1150379649	612012861
COH0419_040_COH_1_4	72156358	40204757
COH0419_001_COH_1_4	915776163	496109094
COH0419_002_COH_1_4	1222658345	664519000
COH0419_003_COH_1_4	1998851354	1097833510
COH0419_013_COH_1_4	1229492336	650027639
COH0419_015_COH_1_4	1639945575	894220502
COH0419_016_COH_1_4	992457077	537805253
COH0419_018_COH_1_4	1172397232	629818502
COH0419_022_COH_1_4	1797401835	971905333
COH0419_030_COH_1_4	1466327593	800049885
COH0419_041_COH_1_4	767800853	418214809
COH0419_034_COH_1_4	1512378741	815858320
COH0419_005_COH_1_4	2548055413	1391743811
COH0419_006_COH_1_4	1736090409	948315816
COH0419_011_COH_1_4	1521614847	828192223
HC0419_016_HC_1_4	855091428	467021599
HC0419_003_HC_1_4	177467000	97536811
HC0419_006_HC_1_4	714489082	391515930
HC0419_007_HC_1_4	1201342366	649823168
HC0419_008_HC_1_4	410811049	223240349
HC0419_024_HC_1_4	427553963	227641207
HC0419_029_HC_1_4	283818944	153270257
HC0419_060_HC_1_4	686475333	377876841
HC0419_063_HC_1_4	1210416332	671048259
HC0419_009_HC_1_4	507706347	270941613
HC0419_012_HC_1_4	776414402	419843787
HC0419_022_HC_1_4	903414477	493129409
NB0419_025_NB_1_4	428875511	234867046
NB0419_026_NB_1_4	936770115	510955691
NB0419_036_NB_1_4	224149805	123671986
SR0419_029_SR_1_4	654657383	359764739
SR0419_001_SR_1_4	1536076656	845030481
SR0419_002_SR_1_4	2486446045	1336338517
SR0419_004_SR_1_4	908519796	496731846
SR0419_006_SR_1_4	1878138824	1012813137
SR0419_007_SR_1_4	2134042288	1165115775
SR0419_008_SR_1_4	1168344354	625247051
SR0419_010_SR_1_4	2008830095	1094514548
SR0419_011_SR_1_4	1180113457	633701639
SR0419_013_SR_1_4	843041814	457365610
SR0419_019_SR_1_4	2568295238	1397439981
SR0419_021_SR_1_4	590045852	314810743
SR0419_026_SR_1_4	1294052181	702794841
SR0419_037_SR_1_4	1426693633	778185549
SR0419_015_SR_1_4	1007337542	539181508
SR0719ch_002_CHR_1_4	903406982	419439589
SR0719ch_029_CHR_1_4	628915289	343692062
SR0719ch_112_CHR_1_4	1239452389	675821113
SR0719ch_155_CHR_1_4	723080777	394300508
SR0719ch_089_CHR_1_4	568257714	312601921
SR0719ch_258_CHR_1_4	587758945	324485339
SR0719ch_140_CHR_1_4	949764015	525696307
SR0719ch_197_CHR_1_4	559177689	309025718
SR0719r_014_REF_1_4	1067847877	593046362
SR0719r_410_REF_1_4	656464911	360125162
Runtime: 1:34:18 (hh:mm:ss)
sample_id	mapped_bases	qual_filtered_mapped_bases
ARN0419_039_ARN_1_5	648741756	351525812
ARN0419_049_ARN_1_5	1102421964	612579447
ARN0419_030_ARN_1_5	108542626	59938637
ARN0419_037_ARN_1_5	696879871	387984263
ARN0419_033_ARN_1_5	1007780589	561299499
ARN0419_026_ARN_1_5	458284056	246832639
ARN0419_040_ARN_1_5	1030536847	568948534
ARN0419_038_ARN_1_5	216554395	117499163
ARN0419_035_ARN_1_5	215266465	117495905
ARN0419_019_ARN_1_5	817224435	445386214
ARN0419_048_ARN_1_5	1460626573	804890545
ARN0419_047_ARN_1_5	27440798	14319232
ARN0419_050_ARN_1_5	606069847	337153707
ARN0419_032_ARN_1_5	209402762	113938748
ARN0419_011_ARN_1_5	20055119	10458904
ARN0419_036_ARN_1_5	31417481	16901493
ARN0419_027_ARN_1_5	210005069	117291501
ARN0419_020_ARN_1_5	203778918	112680507
