sample_id	dedup_mapped_bases	avg_fragment_size	overlap_clipped_bases	minmapq20_bases
NB0419_018_NB_1_3_pe	456460556	384.516367	453509790	453509790
NB0419_019_NB_merged	678386345	390.548869	674519166	674519166
NB0419_020_NB_merged	500839952	379.426742	494048574	494048574
NB0419_022_NB_merged	360638628	390.622561	358523621	358523621
NB0419_023_NB_merged	408413904	391.535665	405320558	405320558
NB0419_024_NB_1_3_pe	620178749	386.887257	617594326	617594326
NB0419_025_NB_merged	378909584	382.256562	375106762	375106762
NB0419_026_NB_1_4_pe	457581337	371.979533	452677680	452677680
NB0419_027_NB_merged	531782758	391.459467	527226440	527226440
NB0419_028_NB_merged	279735045	385.567832	275610189	275610189
NB0419_029_NB_1_2_pe	608936205	382.858815	604742471	604742471
NB0419_030_NB_merged	1324261917	387.312381	1316850350	1316850350
NB0419_031_NB_1_2_pe	747520314	381.452164	739349004	739349004
NB0419_032_NB_1_3_pe	411369970	380.083565	408254370	408254370
NB0419_033_NB_1_2_pe	1030953610	383.867218	1025597422	1025597422
NB0419_034_NB_1_1_pe	1199805200	370.382332	1194322586	1194322586
NB0419_035_NB_1_2_pe	830304205	380.222780	824766146	824766146
NB0419_036_NB_merged	147347622	373.920779	145572794	145572794
NB0419_037_NB_1_5_pe	911698961	395.735929	908118611	908118611
NB0419_038_NB_1_3_pe	424249287	382.719637	421336107	421336107
NB0419_039_NB_1_3_pe	432217128	365.762351	421403026	421403026
NB0419_040_NB_merged	376343735	361.129068	363410882	363410882
NB0419_041_NB_1_3_pe	581516846	327.569513	531472722	531472722
NB0419_042_NB_merged	348071982	293.495691	298525454	298525454
NB0419_043_NB_1_3_pe	530661839	312.077172	471974579	471974579
NB0419_044_NB_merged	683298112	345.197635	640538082	640538082
NB0419_045_NB_1_2_pe	762633661	338.900516	707858379	707858379
NB0419_046_NB_1_1_pe	605737430	355.316486	588594892	588594892
NB0419_047_NB_merged	416174401	319.201255	373833479	373833479
NB0419_048_NB_1_3_pe	398040199	343.038865	374794957	374794957
NB0419_049_NB_1_1_pe	1115477252	375.512488	1112352040	1112352040
NB0419_050_NB_merged	540927956	378.464380	539173033	539173033
SR0419_001_SR_1_4_pe	748039474	372.410258	742046037	742046037
SR0419_002_SR_1_4_pe	1005161440	368.874099	994364194	994364194
SR0419_003_SR_1_3_pe	748138336	382.190691	742446686	742446686
SR0419_004_SR_merged	453535427	373.185627	449464857	449464857
SR0419_005_SR_merged	439254341	363.258044	426542246	426542246
SR0419_006_SR_1_4_pe	847586845	345.369756	812982496	812982496
SR0419_007_SR_1_4_pe	961655329	370.810348	954156050	954156050
SR0419_008_SR_1_4_pe	491036782	366.410290	484879989	484879989
SR0419_009_SR_1_2_pe	814846602	381.779615	808507035	808507035
SR0419_010_SR_1_4_pe	951916234	371.561301	944608416	944608416
SR0419_011_SR_1_4_pe	453608430	364.762876	448203223	448203223
SR0419_012_SR_1_3_pe	433717600	380.888243	430396074	430396074
SR0419_013_SR_merged	457403970	371.874346	453262912	453262912
SR0419_014_SR_merged	384492811	390.740878	382553768	382553768
sample_id	dedup_mapped_bases	avg_fragment_size	overlap_clipped_bases	minmapq20_bases
SR0419_015_SR_1_4_pe	445785807	356.772766	435157323	435157323
SR0419_016_SR_1_3_pe	449669822	382.934599	446979604	446979604
SR0419_017_SR_1_3_pe	437631530	383.902549	435133583	435133583
SR0419_018_SR_1_3_pe	447433395	383.898114	445305578	445305578
SR0419_019_SR_1_4_pe	1145362420	370.004050	1135875529	1135875529
SR0419_020_SR_merged	704113468	372.833523	691476559	691476559
SR0419_021_SR_merged	475732913	316.991515	428571776	428571776
SR0419_022_SR_1_3_pe	660183573	347.622443	623077931	623077931
SR0419_023_SR_1_3_pe	508476016	343.043069	477900016	477900016
SR0419_024_SR_1_3_pe	717557257	368.871306	702318058	702318058
SR0419_025_SR_1_2_pe	755006009	342.116833	705155608	705155608
SR0419_026_SR_1_4_pe	622060514	373.380471	618487665	618487665
SR0419_027_SR_1_1_pe	1001981687	366.430989	993200481	993200481
SR0419_028_SR_1_2_pe	552586811	373.447028	543902860	543902860
SR0419_029_SR_merged	459177029	380.963346	456658118	456658118
SR0419_030_SR_merged	403941479	390.864796	401804056	401804056
SR0419_031_SR_1_1_pe	924335486	373.528414	921921119	921921119
SR0419_032_SR_1_2_pe	527600825	375.978666	521138006	521138006
SR0419_033_SR_merged	693241480	382.640752	689832718	689832718
SR0419_034_SR_merged	594623260	384.062972	591544442	591544442
SR0419_035_SR_1_1_pe	599311902	372.047204	596904974	596904974
SR0419_036_SR_1_3_pe	850324036	379.824659	843178412	843178412
SR0419_037_SR_1_4_pe	666614452	371.106113	662064375	662064375
SR0419_038_SR_1_2_pe	948038580	382.369526	942026366	942026366
SR0419_039_SR_1_2_pe	1157700520	380.774453	1149020285	1149020285
SR0419_040_SR_1_2_pe	870343295	370.376902	853318897	853318897
SR0419_041_SR_merged	566959838	376.709830	564251119	564251119
SR0419_042_SR_1_1_pe	665881864	371.056289	662864071	662864071
SR0419_043_SR_1_3_pe	609308464	381.389607	604913586	604913586
SR0419_044_SR_1_3_pe	834518224	384.226064	830166650	830166650
SR0419_045_SR_1_1_pe	622455669	371.077896	619121606	619121606
SR0419_046_SR_merged	739492867	373.413118	731868991	731868991
SR0419_047_SR_merged	1003812845	375.831370	984315750	984315750
SR0419_048_SR_merged	490749489	369.013222	478470102	478470102
SR0719ch_002_CHR_1_4_pe	325263615	346.375580	311886872	311886872
SR0719ch_008_CHR_merged	506245719	365.599540	490432278	490432278
SR0719ch_016_CHR_merged	612871106	381.499342	605973734	605973734
SR0719ch_017_CHR_merged	637668248	395.438874	634748873	634748873
SR0719ch_019_CHR_1_3_pe	524911646	376.186000	518669377	518669377
SR0719ch_022_CHR_merged	746900839	382.670388	740159642	740159642
SR0719ch_028_CHR_merged	482009537	373.770442	472940602	472940602
SR0719ch_029_CHR_merged	391371030	350.669527	376536315	376536315
SR0719ch_044_CHR_merged	752097790	378.012733	739797928	739797928
SR0719ch_064_CHR_1_3_pe	403314816	340.078474	375783981	375783981
SR0719ch_066_CHR_merged	726190180	368.710632	704234243	704234243
SR0719ch_074_CHR_1_2_pe	567880643	352.090584	538599557	538599557
SR0719ch_083_CHR_merged	388800177	367.853702	378682655	378682655
SR0719ch_089_CHR_merged	360820631	305.528036	318684407	318684407
SR0719ch_094_CHR_merged	373297223	343.280611	350873778	350873778
SR0719ch_099_CHR_merged	457760113	343.138290	428591214	428591214
sample_id	dedup_mapped_bases	avg_fragment_size	overlap_clipped_bases	minmapq20_bases
SR0719ch_103_CHR_1_2_pe	568519800	343.091888	530744066	530744066
SR0719ch_112_CHR_1_4_pe	632931900	330.759353	590815512	590815512
SR0719ch_119_CHR_merged	527306857	345.657270	493157256	493157256
SR0719ch_123_CHR_merged	654945859	379.959346	649028814	649028814
SR0719ch_129_CHR_merged	463359404	357.919079	444262162	444262162
SR0719ch_131_CHR_merged	557450912	370.686617	553301380	553301380
SR0719ch_138_CHR_1_2_pe	511402711	355.630294	487887601	487887601
SR0719ch_140_CHR_1_4_pe	449303351	369.034165	443387430	443387430
SR0719ch_141_CHR_1_3_pe	450766131	353.929031	429168700	429168700
SR0719ch_147_CHR_merged	566163885	350.490921	533006601	533006601
SR0719ch_155_CHR_merged	417945760	334.609900	388820247	388820247
SR0719ch_169_CHR_1_2_pe	560948944	357.449976	536670312	536670312
SR0719ch_181_CHR_1_2_pe	543813321	342.902651	507575812	507575812
SR0719ch_183_CHR_merged	381844678	350.238951	360352618	360352618
SR0719ch_186_CHR_merged	549487829	361.427443	527741717	527741717
SR0719ch_197_CHR_merged	205014867	376.530424	203944467	203944467
SR0719ch_201_CHR_merged	462256113	384.273765	457690612	457690612
SR0719ch_216_CHR_merged	411001173	361.061305	395833411	395833411
SR0719ch_218_CHR_merged	460086127	379.672389	454387979	454387979
SR0719ch_228_CHR_merged	587131700	338.856853	542703156	542703156
SR0719ch_232_CHR_merged	467583922	386.146948	464530043	464530043
SR0719ch_236_CHR_merged	424373212	363.097914	408952909	408952909
SR0719ch_237_CHR_merged	424077014	338.265698	392306494	392306494
SR0719ch_248_CHR_1_2_pe	491187565	345.189338	460297081	460297081
SR0719ch_256_CHR_merged	427084000	348.475536	402333747	402333747
SR0719ch_258_CHR_merged	340409104	298.892487	296706326	296706326
SR0719ch_261_CHR_1_3_pe	524754466	374.290512	517404811	517404811
SR0719ch_279_CHR_1_3_pe	595958077	339.802461	556307159	556307159
SR0719ch_283_CHR_merged	371627372	364.912082	360084277	360084277
SR0719ch_294_CHR_1_1_pe	619614480	374.485786	616964771	616964771
SR0719ch_317_CHR_merged	519169265	380.499019	511735454	511735454
SR0719ch_324_CHR_merged	505734030	377.151736	497582397	497582397
SR0719ch_333_CHR_merged	512990300	352.251226	485135077	485135077
SR0719ch_336_CHR_1_2_pe	624819807	377.153359	616378696	616378696
SR0719r_034_REF_1_1_pe	598369494	373.083161	594900317	594900317
SR0719r_051_REF_merged	518955160	376.119522	515663148	515663148
SR0719r_053_REF_merged	594012609	389.904219	589762672	589762672
SR0719r_056_REF_merged	836978932	390.221583	832981003	832981003
SR0719r_061_REF_1_1_pe	546851050	372.367019	543774863	543774863
SR0719r_075_REF_1_1_pe	1013354230	371.975649	1008788402	1008788402
SR0719r_095_REF_merged	820624515	384.420200	815428034	815428034
SR0719r_193_REF_merged	307882635	390.071097	305409299	305409299
SR0719r_257_REF_merged	560038376	376.474137	557110445	557110445
SR0719r_260_REF_merged	659492100	386.501983	655352057	655352057
SR0719r_265_REF_merged	698631601	382.864262	694089162	694089162
SR0719r_266_REF_1_1_pe	645435177	373.516682	642808495	642808495
SR0719r_276_REF_1_1_pe	674198049	370.414911	670975734	670975734
SR0719r_277_REF_merged	138103356	391.285708	137068921	137068921
SR0719r_286_REF_merged	370045034	381.000454	362278994	362278994
SR0719r_287_REF_merged	334777099	374.925560	325683329	325683329
sample_id	dedup_mapped_bases	avg_fragment_size	overlap_clipped_bases	minmapq20_bases
SR0719r_292_REF_merged	153014632	378.152264	150078462	150078462
SR0719r_295_REF_merged	213359559	369.802700	207351768	207351768
SR0719r_296_REF_merged	603348278	386.374550	595881105	595881105
SR0719r_302_REF_1_2_pe	649392443	357.920013	624035788	624035788
SR0719r_306_REF_merged	500252733	354.869561	477000019	477000019
SR0719r_314_REF_1_2_pe	777540761	377.138005	765907046	765907046
SR0719r_316_REF_1_2_pe	696104146	377.789564	688424849	688424849
SR0719r_318_REF_1_2_pe	655162230	374.467145	644142382	644142382
SR0719r_328_REF_merged	805775646	379.160564	793315652	793315652
SR0719r_332_REF_merged	621432870	370.678497	606585898	606585898
SR0719r_401_REF_merged	474571817	391.124702	471381989	471381989
SR0719r_402_REF_1_2_pe	530685516	367.536800	518399343	518399343
SR0719r_403_REF_merged	765191046	392.325853	762056364	762056364
SR0719r_404_REF_merged	824029347	397.386899	821386939	821386939
SR0719r_405_REF_merged	551599792	390.625372	546199584	546199584
SR0719r_406_REF_merged	578585631	389.500863	574752368	574752368
SR0719r_407_REF_merged	558366877	387.066208	554302697	554302697
SR0719r_408_REF_merged	530430224	392.533260	526261056	526261056
SR0719r_409_REF_merged	215492551	389.516401	212881704	212881704
SR0719r_410_REF_merged	495958080	376.879013	492537500	492537500
SR0719r_411_REF_merged	63538955	378.863695	62148964	62148964
SR0719r_413_REF_merged	157210868	389.675382	155812704	155812704
SR0719r_414_REF_merged	66806651	378.397708	65238719	65238719
SR0719r_415_REF_merged	107746357	395.054728	107355749	107355749
SR0719r_417_REF_1_2_pe	639852551	380.714720	634761026	634761026
SR0719r_418_REF_1_1_pe	884063917	369.209494	878595485	878595485
SR0719r_419_REF_1_1_pe	606008978	365.201227	599167805	599167805
SR0719r_420_REF_merged	1135361402	393.699284	1131751115	1131751115
SR0719r_421_REF_merged	80104448	361.565147	76652819	76652819
SR0719r_422_REF_merged	715461171	393.281024	712268437	712268437
SR0719r_423_REF_merged	99148271	376.617707	96771668	96771668
SR0719r_424_REF_1_1_pe	1184832612	373.525632	1178823461	1178823461
SR0719r_425_REF_1_1_pe	664169752	372.962507	661548181	661548181
SR0719r_426_REF_merged	822749279	394.551199	817183052	817183052
SR0719r_427_REF_merged	411741644	381.897133	410288373	410288373
sample_id	dedup_mapped_bases	avg_fragment_size	overlap_clipped_bases	minmapq20_bases
COH0419_041_COH_merged	441001855	347.682541	422030671	422030671
NB0419_017_NB_merged	301947917	382.517320	300434511	300434511
SR0719r_014_REF_1_4_pe	562844384	339.751745	532841996	532841996
SR0719r_416_REF_merged	79601718	382.546121	78156230	78156230
