prefix	lane_number	seq_id	sample_id	population	data_type
NB0419_002_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_002	NB	pe
NB0419_003_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_003	NB	pe
NB0419_004_NB_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	NB0419_004	NB	pe
NB0419_005_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_005	NB	pe
NB0419_006_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_006	NB	pe
NB0419_007_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_007	NB	pe
NB0419_008_NB_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	NB0419_008	NB	pe
NB0419_009_NB_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	NB0419_009	NB	pe
NB0419_010_NB_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	NB0419_010	NB	pe
NB0419_011_NB_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	NB0419_011	NB	pe
NB0419_012_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_012	NB	pe
NB0419_013_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_013	NB	pe
NB0419_014_NB_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	NB0419_014	NB	pe
NB0419_016_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_016	NB	pe
NB0419_017_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_017	NB	pe
NB0419_018_NB_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	NB0419_018	NB	pe
NB0419_019_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_019	NB	pe
NB0419_020_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_020	NB	pe
NB0419_022_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_022	NB	pe
NB0419_023_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_023	NB	pe
NB0419_024_NB_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	NB0419_024	NB	pe
NB0419_025_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_025	NB	pe
NB0419_026_NB_1_4_pe_bt2_CV30_masked_minq20_sorted.bam	4	1	NB0419_026	NB	pe
NB0419_027_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_027	NB	pe
NB0419_028_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_028	NB	pe
NB0419_029_NB_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	NB0419_029	NB	pe
NB0419_030_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_030	NB	pe
NB0419_031_NB_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	NB0419_031	NB	pe
NB0419_032_NB_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	NB0419_032	NB	pe
NB0419_033_NB_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	NB0419_033	NB	pe
NB0419_034_NB_1_1_pe_bt2_CV30_masked_minq20_sorted.bam	1	1	NB0419_034	NB	pe
NB0419_035_NB_1_2_pe_bt2_CV30_masked_minq20_sorted.bam	2	1	NB0419_035	NB	pe
NB0419_036_NB_merged_bt2_CV30_masked_minq20_sorted.bam	6	1	NB0419_036	NB	pe
NB0419_037_NB_1_5_pe_bt2_CV30_masked_minq20_sorted.bam	5	1	NB0419_037	NB	pe
NB0419_038_NB_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	NB0419_038	NB	pe
NB0419_039_NB_1_3_pe_bt2_CV30_masked_minq20_sorted.bam	3	1	NB0419_039	NB	pe
