bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
Cv209_REF	0.927348866650528	1.60015788858348	2.5146993965443	0.695706005624617	0	0.368771260662467
Cv20_REF	2.12236965266547	3.14792825271435	4.7109783103949	1.67391461041345	0	0.450515691822151
Cv213_REF	3.1541442082012	4.49711636506655	6.68141138340473	2.60079098265795	0	0.472077533803403
Cv214_REF	0.330068202066385	0.743378905315349	1.51165282731697	0.153264903940718	0	0.218349210944432
Cv216_CHR	2.92921231540237	4.20438029420734	6.25936704343294	2.38308180146041	0	0.467972607306275
Cv218_REF	1.10381776425066	1.79986451623915	2.79725278796478	0.774997498524936	0	0.394607798408744
Cv220_CHR	3.87407317966554	5.46739153945306	8.08446655633787	3.09310077874205	0	0.479199604905286
Cv226_REF	2.77770135197523	4.00987979904069	5.95580860211847	2.15813261516457	0	0.466385261438539
Cv230_CHR	2.95547547569142	4.29522925604556	6.29804143911973	2.35190538493724	0	0.469268978976826
Cv240_CHR	2.17068376532656	3.21873060472826	4.80111277576187	1.68110760195303	0	0.452120970014233
Cv241_CHR	2.81015666697171	4.06370935029083	6.03305257008649	2.17804797140211	0	0.465793499116355
Cv242_CHR	3.29735944968787	4.6562651337735	6.92612250227255	2.64521231577911	0	0.476075819999525
Cv243_REF	2.85274267912936	4.11119566826554	6.05934488879631	2.32362707680323	0	0.47080051251135
Cv247_CHR	2.33722804802949	3.43988312501174	5.13627117835963	1.88892505305824	0	0.455043740267344
Cv249_CHR	3.20341712116519	4.56818469677287	6.75021155809586	2.61366767116821	0	0.474565440444816
Cv257_REF	3.08417262910264	4.44319504174744	6.54550003085189	2.39330744766187	0	0.471189766185623
Cv259_CHR	2.3880556843091	3.4869255427259	5.21917697980779	1.89742506547487	0	0.457554072902132
Cv261_REF	2.77414044567027	4.03733254009223	5.98684702637646	2.15099080162905	0	0.46337252872008
Cv263_CHR	2.82671324366689	4.05544903416363	6.04568160797072	2.18479911345239	0	0.467559065621074
Cv268_REF	1.67701467612145	2.60200572386192	3.83845504594684	1.20261593053398	0	0.436898349999505
Cv270_CHR	2.36067480818654	3.48274925137607	5.16758675935599	1.88826579302986	0	0.456823449343034
Cv275_REF	2.88969770631358	4.17962072287955	6.12710736872622	2.36069625237033	0	0.471625113191682
Cv277_CHR	0.339101905092665	0.732218022087127	1.48910767252371	0.160912439421334	0	0.227721548514901
Cv278_REF	2.4129063341451	3.53675245075077	5.22022714419351	1.91496110998828	0	0.462222479500311
Cv279_CHR	2.63931266882894	3.83728523809176	5.68106832226374	2.12952355392218	0	0.464580342835782
Cv27_REF	2.06998214805682	3.07191542145226	4.60527437522663	1.64901011157563	0	0.449480743034906
Cv283_REF	2.03517640611302	3.02300357365443	4.53073717443032	1.63776988935652	0	0.449193216856108
Cv28_CHR	2.68131283330985	3.8558071373682	5.72448414802928	2.15882679668267	0	0.468393791295679
Cv290_CHR	2.62105118651294	3.81785147542773	5.61902428276211	2.12581381212936	0	0.466460199247737
Cv294_CHR	3.08791077173395	4.45899928826502	6.5637065936109	2.54720450501658	0	0.470452286020711
Cv295_REF	3.66835308452551	5.20719820942296	7.64108345196743	3.07856634322695	0	0.4800828452647
Cv299_CHR	2.60652180512958	3.79153026660743	5.63240996975643	2.12159102444418	0	0.462772031710063
Cv300_CHR	2.52943242515318	3.67351667522599	5.49012623154483	1.92819565453707	0	0.460723910248312
Cv301_REF	2.51016020027866	3.65573806863469	5.43147539890377	1.93795565055648	0	0.462150707851157
Cv304_CHR	2.54928982007997	3.71548137762506	5.52282481898624	1.93263896419787	0	0.461591649859244
Cv305_REF	2.75425962729609	3.97513947613677	5.89658482015137	2.17362407626594	0	0.46709404024582
Cv311_CHR	3.42016874879449	4.84882814151306	7.155226398339	2.82759972714591	0	0.477995881386579
Cv315_REF	2.8633342146793	4.14463830576785	6.14270927920201	2.33254489987389	0	0.466135394747312
Cv316_CHR	2.66415012390178	3.86063592947533	5.68596676441986	2.12515405666405	0	0.468548311004915
Cv318_CHR	3.26788677574314	4.64947877178175	6.89941426203717	2.60082650609797	0	0.473646986777753
Cv321_REF	2.06691798860434	3.07427340981539	4.5823122865347	1.6611051592442	0	0.451064410140119
