bamhead	mean_depth	sd_depth	mean_depth_nonzero	mean_depth_within2sd	median	proportion_of_reference_covered
Cv5786	1.25244768122139	2.00929724677301	3.06495927191427	0.956516833818315	0	0.408634363496273
Cv5786	1.29634133646006	2.0841729878602	3.16670618308809	0.97187439799794	0	0.409365839932431
Cv5786	0.430176494378821	0.873691975041227	1.63661872352317	0.306849485607908	0	0.262844661493738
Cv5786	1.48634155067238	2.3194843027444	3.48427972060614	1.17209857391444	0	0.42658502469856
Cv5786	2.20022972973669	3.27997575468831	4.8112555801003	1.68463307945474	0	0.457308844460121
Cv5786	1.4692245767955	2.26367272277174	3.38378934366933	1.03459245001064	0	0.434195048088305
Cv5786	2.01358387369984	3.00393494258098	4.45159680032982	1.65807495443215	0	0.452328448423504
Cv5786	2.00072135582278	3.005469036636	4.45364446188879	1.63082052017085	0	0.44923239224503
Cv5786	1.75425053773014	2.71338479452772	4.04944863756502	1.38785692078482	0	0.433207257268765
Cv5786	2.74341495374655	3.92669943270357	5.68754494332384	2.18251915353925	0	0.482354861558717
Cv5786	2.97485987872491	4.31595981461243	6.37840582523179	2.3658722113701	0	0.46639551640894
Cv5786	2.22194328014555	3.28195347292771	4.86407945220891	1.69689200206314	0	0.456806534921618
Cv5786	1.91229891188768	2.85098830021257	4.1591891126021	1.46559774790915	0	0.459776860372844
Cv5786	1.94457595513519	2.9305397130949	4.4319748474748	1.45052485112157	0	0.438760602678448
Cv5786	3.11320747627076	4.42021237281574	6.50234434921662	2.44844628742075	0	0.478782314358077
Cv5786	3.71403450735795	5.03899791004326	7.27012184846901	3.04168767346327	1	0.510862759217816
Cv5786	3.63091822199066	5.18063065847861	7.64174669353663	2.87299063026178	0	0.47514244682554
Cv5786	3.2846054808632	4.63127578620528	6.78727110983748	2.66106324581751	0	0.48393609562766
Cv5786	2.68713242678021	3.93002402444312	5.77663955633215	2.14595179435379	0	0.465172251198558
Cv5786	1.10756533087894	1.83434684517382	2.79234096569094	0.775463445570474	0	0.396644014641399
Cv5786	1.42539720207903	2.26063621058321	3.40888772811519	1.00801733087252	0	0.418141433736108
Cv5786	0.79464449227605	1.38238357316031	2.22843459289007	0.553586016246909	0	0.356593141576272
Cv5786	1.45052407601278	2.23431448900962	3.34829258798337	1.04129578397799	0	0.433213059461502
Cv5786	3.20884199904549	4.55963789249536	6.77426390767319	2.62911599982765	0	0.47368128002967
Cv5786	1.69735340331287	2.56507627326523	3.8371662846394	1.25793769453454	0	0.442345542883763
Cv5786	2.00324964268955	3.00528854867358	4.47678558859998	1.62610054666471	0	0.447475002553082
Cv5786	1.90888271136629	2.89445197444476	4.30682100493165	1.44746116942765	0	0.443223135853467
Cv5786	3.90981748215124	5.44328045350035	8.03671752766972	3.17067407700564	0	0.486494326655956
