prefix	lane_number	seq_id	sample_id	population	data_type
Cv321_CKDL210000056-1a-AK11301-AK11140_HNMTKDSXY_L4	4	1	Cv321	NA	pe
Cv326_CKDL210000056-1a-AK11207-AK17130_HNMTKDSXY_L4	4	1	Cv326	NA	pe
Cv328_CKDL210000056-1a-AK11169-AK11138_HNMTKDSXY_L4	4	1	Cv328	NA	pe
Cv330_CKDL210000056-1a-AK11167-AK13894_HNMTKDSXY_L4	4	1	Cv330	NA	pe
Cv331_CKDL210000056-1a-AK11226-AK17131_HNMTKDSXY_L4	4	1	Cv331	NA	pe
Cv332_CKDL210000056-1a-AK11142-AK10623_HNMTKDSXY_L4	4	1	Cv332	NA	pe
Cv33_CKDL210000056-1a-AK11478-AK729_HNMTKDSXY_L4	4	1	Cv33	NA	pe
Cv348_CKDL210000056-1a-AK11590-AK17132_HNMTKDSXY_L4	4	1	Cv348	NA	pe
Cv35_CKDL210000056-1a-AK11719-AK11368_HNMTKDSXY_L4	4	1	Cv35	NA	pe
Cv39_CKDL210000056-1a-AK9879-AK11366_HNMTKDSXY_L4	4	1	Cv39	NA	pe
Cv41_CKDL210000056-1a-AK6117-AK5534_HNMTKDSXY_L4	4	1	Cv41	NA	pe
Cv42_CKDL210000056-1a-AK11441-AK11607_HNMTKDSXY_L4	4	1	Cv42	NA	pe
Cv44_CKDL210000056-1a-AK10551-AK11695_HNMTKDSXY_L4	4	1	Cv44	NA	pe
Cv47_CKDL210000056-1a-AK19830-AK7808_HNMTKDSXY_L4	4	1	Cv47	NA	pe
Cv50_CKDL210000056-1a-AK12634-AK11400_HNMTKDSXY_L4	4	1	Cv50	NA	pe
Cv54_CKDL210000056-1a-AK11639-AK11639_HNMTKDSXY_L4	4	1	Cv54	NA	pe
Cv56_CKDL210000056-1a-AK19831-AK11507_HNMTKDSXY_L4	4	1	Cv56	NA	pe
Cv5785_01_CKDL210000056-1a-7UDI2744-AK11866_HNMTKDSXY_L4	4	1	Cv5785_1	NA	pe
Cv5785_02_CKDL210000056-1a-AK17133-AK11480_HNMTKDSXY_L4	4	1	Cv5785_2	NA	pe
Cv5785_03_CKDL210000056-1a-AK14337-AK17423_HNMTKDSXY_L4	4	1	Cv5785_3	NA	pe
Cv5785_04_CKDL210000056-1a-AK19836-AK12649_HNMTKDSXY_L4	4	1	Cv5785_4	NA	pe
Cv5785_05_CKDL210000056-1a-AK17010-AK11581_HNMTKDSXY_L4	4	1	Cv5785_5	NA	pe
Cv5785_06_CKDL210000056-1a-AK11652-AK11154_HNMTKDSXY_L4	4	1	Cv5785_6	NA	pe
Cv5785_07_CKDL210000056-1a-AK3948-AK9674_HNMTKDSXY_L4	4	1	Cv5785_7	NA	pe
Cv5785_08_CKDL210000056-1a-AK11355-AK11272_HNMTKDSXY_L4	4	1	Cv5785_8	NA	pe
Cv5785_09_CKDL210000056-1a-AK11235-AK17429_HNMTKDSXY_L4	4	1	Cv5785_9	NA	pe
Cv5785_10_CKDL210000056-1a-AK19837-AK11579_HNMTKDSXY_L4	4	1	Cv5785_10	NA	pe
Cv5785_11_CKDL210000056-1a-AK11262-AK17431_HNMTKDSXY_L4	4	1	Cv5785_11	NA	pe
Cv5785_12_CKDL210000056-1a-7UDI481-AK17432_HNMTKDSXY_L4	4	1	Cv5785_12	NA	pe
Cv5785_13_CKDL210000056-1a-AK19838-AK17436_HNMTKDSXY_L4	4	1	Cv5785_13	NA	pe
Cv5785_14_CKDL210000056-1a-AK11594-AK17438_HNMTKDSXY_L4	4	1	Cv5785_14	NA	pe
Cv5785_15_CKDL210000056-1a-AK19839-AK11236_HNMTKDSXY_L4	4	1	Cv5785_15	NA	pe
Cv5785_16_CKDL210000056-1a-AK17401-AK11574_HNMTKDSXY_L4	4	1	Cv5785_16	NA	pe
Cv5785_17_CKDL210000056-1a-AK11242-AK11523_HNMTKDSXY_L4	4	1	Cv5785_17	NA	pe
Cv5785_18_CKDL210000056-1a-5UDI247-AK1239_HNMTKDSXY_L4	4	1	Cv5785_18	NA	pe
Cv5785_19_CKDL210000056-1a-AK11315-7UDI280_HNMTKDSXY_L4	4	1	Cv5785_19	NA	pe
Cv5785_20_CKDL210000056-1a-AK11345-AK5729_HNMTKDSXY_L4	4	1	Cv5785_20	NA	pe
Cv5785_21_CKDL210000056-1a-AK11219-AK11583_HNMTKDSXY_L4	4	1	Cv5785_21	NA	pe
Cv5785_22_CKDL210000056-1a-AK8960-5UDI1709_HNMTKDSXY_L4	4	1	Cv5785_22	NA	pe
Cv5785_23_CKDL210000056-1a-AK11507-AK17133_HNMTKDSXY_L4	4	1	Cv5785_23	NA	pe
Cv5785_24_CKDL210000056-1a-AK11501-AK10250_HNMTKDSXY_L4	4	1	Cv5785_24	NA	pe
Cv5785_25_CKDL210000056-1a-AK11419-AK17135_HNMTKDSXY_L4	4	1	Cv5785_25	NA	pe
Cv5785_26_CKDL210000056-1a-AK11709-AK5544_HNMTKDSXY_L4	4	1	Cv5785_26	NA	pe
Cv5785_27_CKDL210000056-1a-AK11689-AK11123_HNMTKDSXY_L4	4	1	Cv5785_27	NA	pe
Cv5785_28_CKDL210000056-1a-AK17447-AK11474_HNMTKDSXY_L4	4	1	Cv5785_28	NA	pe
Cv5785_29_CKDL210000056-1a-AK10140-AK11721_HNMTKDSXY_L4	4	1	Cv5785_29	NA	pe
Cv5785_30_CKDL210000056-1a-AK11498-AK11701_HNMTKDSXY_L4	4	1	Cv5785_30	NA	pe
Cv5786_01_CKDL210000056-1a-AK19840-AK11295_HNMTKDSXY_L4	4	1	Cv5786_1	NA	pe
Cv5786_02_CKDL210000056-1a-5UDI2509-AK11315_HNMTKDSXY_L4	4	1	Cv5786_2	NA	pe
Cv5786_03_CKDL210000056-1a-AK11303-AK17444_HNMTKDSXY_L4	4	1	Cv5786_3	NA	pe
Cv5786_04_CKDL210000056-1a-AK11128-AK14729_HNMTKDSXY_L4	4	1	Cv5786_4	NA	pe
Cv5786_05_CKDL210000056-1a-AK17050-AK17449_HNMTKDSXY_L4	4	1	Cv5786_5	NA	pe
Cv5786_06_CKDL210000056-1a-AK17069-7UDI871_HNMTKDSXY_L4	4	1	Cv5786_6	NA	pe
Cv5786_07_CKDL210000056-1a-AK12657-AK11212_HNMTKDSXY_L4	4	1	Cv5786_7	NA	pe
Cv5786_08_CKDL210000056-1a-AK17026-AK11290_HNMTKDSXY_L4	4	1	Cv5786_8	NA	pe
Cv5786_09_CKDL210000056-1a-AK11231-AK12055_HNMTKDSXY_L4	4	1	Cv5786_9	NA	pe
Cv5786_10_CKDL210000056-1a-AK1457-AK11112_HNMTKDSXY_L4	4	1	Cv5786_10	NA	pe
Cv5786_11_CKDL210000056-1a-AK11453-AK17462_HNMTKDSXY_L4	4	1	Cv5786_11	NA	pe
Cv5786_12_CKDL210000056-1a-AK7276-AK12647_HNMTKDSXY_L4	4	1	Cv5786_12	NA	pe
Cv5786_13_CKDL210000056-1a-AK11472-AK11179_HNMTKDSXY_L4	4	1	Cv5786_13	NA	pe
Cv5786_14_CKDL210000056-1a-AK4488-AK11652_HNMTKDSXY_L4	4	1	Cv5786_14	NA	pe
Cv5786_15_CKDL210000056-1a-5UDI2611-AK17464_HNMTKDSXY_L4	4	1	Cv5786_15	NA	pe
Cv5786_16_CKDL210000056-1a-AK11511-AK11470_HNMTKDSXY_L4	4	1	Cv5786_16	NA	pe
Cv5786_17_CKDL210000056-1a-AK2343-AK7352_HNMTKDSXY_L4	4	1	Cv5786_17	NA	pe
Cv5786_18_CKDL210000056-1a-AK11634-AK11502_HNMTKDSXY_L4	4	1	Cv5786_18	NA	pe
Cv5786_19_CKDL210000056-1a-AK17114-AK11341_HNMTKDSXY_L4	4	1	Cv5786_19	NA	pe
Cv5786_20_CKDL210000056-1a-AK5128-AK5128_HNMTKDSXY_L4	4	1	Cv5786_20	NA	pe
Cv5786_21_CKDL210000056-1a-AK1759-AK17105_HNMTKDSXY_L4	4	1	Cv5786_21	NA	pe
Cv5786_22_CKDL210000056-1a-AK11385-AK11216_HNMTKDSXY_L4	4	1	Cv5786_22	NA	pe
Cv5786_23_CKDL210000056-1a-AK9387-AK9879_HNMTKDSXY_L4	4	1	Cv5786_23	NA	pe
Cv5786_24_CKDL210000056-1a-AK11484-AK3851_HNMTKDSXY_L4	4	1	Cv5786_24	NA	pe
Cv5786_25_CKDL210000056-1a-AK11494-AK11505_HNMTKDSXY_L4	4	1	Cv5786_25	NA	pe
Cv5786_26_CKDL210000056-1a-AK4527-AK11457_HNMTKDSXY_L4	4	1	Cv5786_26	NA	pe
Cv5786_27_CKDL210000056-1a-AK11443-AK11625_HNMTKDSXY_L4	4	1	Cv5786_27	NA	pe
Cv5786_28_CKDL210000056-1a-AK17468-AK11445_HNMTKDSXY_L4	4	1	Cv5786_28	NA	pe
Cv5786_29_CKDL210000056-1a-AK11527-AK11348_HNMTKDSXY_L4	4	1	Cv5786_29	NA	pe
Cv5786_30_CKDL210000056-1a-AK10073-AK11231_HNMTKDSXY_L4	4	1	Cv5786_30	NA	pe
Cv5_CKDL210000056-1a-AK11666-AK12634_HNMTKDSXY_L4	4	1	Cv5	NA	pe
Cv63_CKDL210000056-1a-AK11380-AK4912_HNMTKDSXY_L4	4	1	Cv63	NA	pe
Cv64_CKDL210000056-1a-AK10333-AK11610_HNMTKDSXY_L4	4	1	Cv64	NA	pe
Cv68_CKDL210000056-1a-AK11521-AK11378_HNMTKDSXY_L4	4	1	Cv68	NA	pe
Cv69_CKDL210000056-1a-AK12630-AK11499_HNMTKDSXY_L4	4	1	Cv69	NA	pe
Cv72_CKDL210000056-1a-AK15482-AK11588_HNMTKDSXY_L4	4	1	Cv72	NA	pe
Cv76_CKDL210000056-1a-AK11388-AK11352_HNMTKDSXY_L4	4	1	Cv76	NA	pe
Cv78_CKDL210000056-1a-AK11516-AK17407_HNMTKDSXY_L4	4	1	Cv78	NA	pe
Cv82_CKDL210000056-1a-AK11457-AK12627_HNMTKDSXY_L4	4	1	Cv82	NA	pe
Cv87_CKDL210000056-1a-AK4425-AK17408_HNMTKDSXY_L4	4	1	Cv87	NA	pe
HH13a_01_CKDL210000056-1a-AK11116-AK17465_HNMTKDSXY_L4	4	1	HH13a_1	NA	pe
HH13a_02_CKDL210000056-1a-AK17053-AK12484_HNMTKDSXY_L4	4	1	HH13a_2	NA	pe
HH13a_03_CKDL210000056-1a-AK17015-AK17467_HNMTKDSXY_L4	4	1	HH13a_3	NA	pe
HH13a_04_CKDL210000056-1a-AK11530-AK10073_HNMTKDSXY_L4	4	1	HH13a_4	NA	pe
HH13a_05_CKDL210000056-1a-AK19841-AK11604_HNMTKDSXY_L4	4	1	HH13a_5	NA	pe
HH13a_06_CKDL210000056-1a-AK11866-AK17468_HNMTKDSXY_L4	4	1	HH13a_6	NA	pe
HH13a_07_CKDL210000056-1a-AK19842-AK532_HNMTKDSXY_L4	4	1	HH13a_7	NA	pe
HH13a_08_CKDL210000056-1a-AK11470-AK11277_HNMTKDSXY_L4	4	1	HH13a_8	NA	pe
HH13a_09_CKDL210000056-1a-AK2317-AK9800_HNMTKDSXY_L4	4	1	HH13a_9	NA	pe
HH13a_10_CKDL210000056-1a-AK11244-AK11727_HNMTKDSXY_L4	4	1	HH13a_10	NA	pe
HH13a_11_CKDL210000056-1a-AK19843-AK11361_HNMTKDSXY_L4	4	1	HH13a_11	NA	pe
HH13a_12_CKDL210000056-1a-7UDI1851-AK4019_HNMTKDSXY_L4	4	1	HH13a_12	NA	pe
HH13a_13_CKDL210000056-1a-AK19844-AK7685_HNMTKDSXY_L4	4	1	HH13a_13	NA	pe
HH13a_14_CKDL210000056-1a-AK13484-AK11125_HNMTKDSXY_L4	4	1	HH13a_14	NA	pe
HH13a_15_CKDL210000056-1a-AK105-AK17000_HNMTKDSXY_L4	4	1	HH13a_15	NA	pe
HH13a_16_CKDL210000056-1a-AK11523-AK12632_HNMTKDSXY_L4	4	1	HH13a_16	NA	pe
HH13a_17_CKDL210000056-1a-AK11392-AK11648_HNMTKDSXY_L4	4	1	HH13a_17	NA	pe
HH13a_18_CKDL210000056-1a-AK11491-AK12639_HNMTKDSXY_L4	4	1	HH13a_18	NA	pe
HH13a_19_CKDL210000056-1a-AK11439-AK11703_HNMTKDSXY_L4	4	1	HH13a_19	NA	pe
HH13a_20_CKDL210000056-1a-AK11492-AK11614_HNMTKDSXY_L4	4	1	HH13a_20	NA	pe
HH13a_21_CKDL210000056-1a-AK11423-AK11618_HNMTKDSXY_L4	4	1	HH13a_21	NA	pe
HH13a_22_CKDL210000056-1a-AK24791-AK2898_HNMTKDSXY_L4	4	1	HH13a_22	NA	pe
HH13a_23_CKDL210000056-1a-AK17124-AK11489_HNMTKDSXY_L4	4	1	HH13a_23	NA	pe
HH13a_24_CKDL210000056-1a-AK11515-AK11294_HNMTKDSXY_L4	4	1	HH13a_24	NA	pe
HH13a_25_CKDL210000056-1a-AK285-AK11484_HNMTKDSXY_L4	4	1	HH13a_25	NA	pe
